source,target,relationship_type
6,1587,VOTES
6,1597,VOTES
6,1610,VOTES
6,1619,VOTES
6,1641,VOTES
6,1648,VOTES
6,1652,VOTES
6,1654,VOTES
6,1657,VOTES
6,1662,VOTES
6,1669,VOTES
6,1679,VOTES
6,1689,VOTES
6,1692,VOTES
6,1701,VOTES
6,1716,VOTES
6,1718,VOTES
6,1752,VOTES
6,1758,VOTES
6,1768,VOTES
6,1774,VOTES
6,1783,VOTES
6,1787,VOTES
6,1788,VOTES
6,1798,VOTES
6,1861,VOTES
6,1864,VOTES
6,1982,VOTES
6,2409,VOTES
6,2651,VOTES
6,2843,VOTES
6,2909,VOTES
6,3755,VOTES
6,3892,VOTES
6,4037,VOTES
6,4134,VOTES
6,4792,VOTES
6,4942,VOTES
6,5323,VOTES
6,5697,VOTES
6,6227,VOTES
6,6330,VOTES
6,6624,VOTES
6,6765,VOTES
6,6790,VOTES
6,6965,VOTES
6,7161,VOTES
6,7632,VOTES
6,8282,VOTES
6,8290,VOTES
7,6,VOTES
7,28,VOTES
7,30,VOTES
7,32,VOTES
7,35,VOTES
7,38,VOTES
7,54,VOTES
7,55,VOTES
7,61,VOTES
7,75,VOTES
7,93,VOTES
7,105,VOTES
7,228,VOTES
7,259,VOTES
7,271,VOTES
7,299,VOTES
7,524,VOTES
7,1190,VOTES
7,1193,VOTES
7,1425,VOTES
7,1471,VOTES
7,1919,VOTES
7,8283,VOTES
7,8287,VOTES
8,6,VOTES
8,10,VOTES
8,19,VOTES
8,23,VOTES
8,28,VOTES
8,30,VOTES
8,33,VOTES
8,34,VOTES
8,36,VOTES
8,39,VOTES
8,49,VOTES
8,50,VOTES
8,54,VOTES
8,55,VOTES
8,56,VOTES
8,61,VOTES
8,75,VOTES
8,80,VOTES
8,86,VOTES
8,89,VOTES
8,127,VOTES
8,130,VOTES
8,132,VOTES
8,135,VOTES
8,140,VOTES
8,144,VOTES
8,150,VOTES
8,151,VOTES
8,152,VOTES
8,153,VOTES
8,154,VOTES
8,163,VOTES
8,167,VOTES
8,168,VOTES
8,175,VOTES
8,178,VOTES
8,182,VOTES
8,183,VOTES
8,192,VOTES
8,214,VOTES
8,216,VOTES
8,219,VOTES
8,224,VOTES
8,226,VOTES
8,232,VOTES
8,236,VOTES
8,243,VOTES
8,250,VOTES
8,252,VOTES
8,255,VOTES
8,258,VOTES
8,261,VOTES
8,271,VOTES
8,273,VOTES
8,274,VOTES
8,280,VOTES
8,282,VOTES
8,286,VOTES
8,299,VOTES
8,300,VOTES
8,301,VOTES
8,308,VOTES
8,310,VOTES
8,319,VOTES
8,322,VOTES
8,339,VOTES
8,341,VOTES
8,348,VOTES
8,349,VOTES
8,356,VOTES
8,358,VOTES
8,362,VOTES
8,363,VOTES
8,370,VOTES
8,371,VOTES
8,373,VOTES
8,377,VOTES
8,378,VOTES
8,379,VOTES
8,389,VOTES
8,390,VOTES
8,391,VOTES
8,392,VOTES
8,394,VOTES
8,396,VOTES
8,402,VOTES
8,405,VOTES
8,406,VOTES
8,415,VOTES
8,421,VOTES
8,422,VOTES
8,427,VOTES
8,428,VOTES
8,431,VOTES
8,432,VOTES
8,433,VOTES
8,435,VOTES
8,439,VOTES
8,440,VOTES
8,488,VOTES
8,506,VOTES
8,514,VOTES
8,524,VOTES
8,538,VOTES
8,549,VOTES
8,560,VOTES
8,564,VOTES
8,566,VOTES
8,567,VOTES
8,581,VOTES
8,584,VOTES
8,586,VOTES
8,587,VOTES
8,589,VOTES
8,590,VOTES
8,592,VOTES
8,600,VOTES
8,604,VOTES
8,606,VOTES
8,607,VOTES
8,609,VOTES
8,611,VOTES
8,613,VOTES
8,616,VOTES
8,617,VOTES
8,622,VOTES
8,624,VOTES
8,627,VOTES
8,628,VOTES
8,631,VOTES
8,636,VOTES
8,637,VOTES
8,645,VOTES
8,650,VOTES
8,656,VOTES
8,657,VOTES
8,658,VOTES
8,659,VOTES
8,664,VOTES
8,665,VOTES
8,667,VOTES
8,668,VOTES
8,673,VOTES
8,674,VOTES
8,675,VOTES
8,677,VOTES
8,681,VOTES
8,687,VOTES
8,706,VOTES
8,715,VOTES
8,719,VOTES
8,723,VOTES
8,725,VOTES
8,739,VOTES
8,741,VOTES
8,749,VOTES
8,756,VOTES
8,760,VOTES
8,761,VOTES
8,778,VOTES
8,779,VOTES
8,798,VOTES
8,802,VOTES
8,806,VOTES
8,810,VOTES
8,817,VOTES
8,822,VOTES
8,844,VOTES
8,857,VOTES
8,864,VOTES
8,866,VOTES
8,868,VOTES
8,875,VOTES
8,878,VOTES
8,881,VOTES
8,882,VOTES
8,885,VOTES
8,936,VOTES
8,938,VOTES
8,977,VOTES
8,1092,VOTES
8,8284,VOTES
9,8,VOTES
9,10,VOTES
9,23,VOTES
9,28,VOTES
9,30,VOTES
9,33,VOTES
9,34,VOTES
9,54,VOTES
9,55,VOTES
9,56,VOTES
9,61,VOTES
9,75,VOTES
9,80,VOTES
9,86,VOTES
9,94,VOTES
9,130,VOTES
9,135,VOTES
9,144,VOTES
9,151,VOTES
9,168,VOTES
9,214,VOTES
9,226,VOTES
9,228,VOTES
9,243,VOTES
9,250,VOTES
9,258,VOTES
9,261,VOTES
9,271,VOTES
9,274,VOTES
9,299,VOTES
9,325,VOTES
9,339,VOTES
9,348,VOTES
9,356,VOTES
9,363,VOTES
9,370,VOTES
9,377,VOTES
9,378,VOTES
9,379,VOTES
9,390,VOTES
9,391,VOTES
9,392,VOTES
9,394,VOTES
9,402,VOTES
9,421,VOTES
9,422,VOTES
9,427,VOTES
9,431,VOTES
9,439,VOTES
9,440,VOTES
9,506,VOTES
9,517,VOTES
9,559,VOTES
9,560,VOTES
9,579,VOTES
9,592,VOTES
9,611,VOTES
9,626,VOTES
9,658,VOTES
9,664,VOTES
9,715,VOTES
9,733,VOTES
9,756,VOTES
9,857,VOTES
9,868,VOTES
9,893,VOTES
9,904,VOTES
9,918,VOTES
9,932,VOTES
9,972,VOTES
9,982,VOTES
9,1049,VOTES
9,1103,VOTES
9,1384,VOTES
9,1525,VOTES
9,1580,VOTES
9,1618,VOTES
9,1652,VOTES
9,1717,VOTES
9,1855,VOTES
9,1966,VOTES
10,3,VOTES
10,6,VOTES
10,8,VOTES
10,19,VOTES
10,23,VOTES
10,28,VOTES
10,30,VOTES
10,33,VOTES
10,34,VOTES
10,38,VOTES
10,50,VOTES
10,54,VOTES
10,89,VOTES
10,93,VOTES
10,105,VOTES
10,130,VOTES
10,132,VOTES
10,135,VOTES
10,147,VOTES
10,153,VOTES
10,154,VOTES
10,163,VOTES
10,168,VOTES
10,175,VOTES
10,183,VOTES
10,214,VOTES
10,216,VOTES
10,219,VOTES
10,246,VOTES
10,250,VOTES
10,252,VOTES
10,255,VOTES
10,257,VOTES
10,261,VOTES
10,271,VOTES
10,274,VOTES
10,280,VOTES
10,286,VOTES
10,300,VOTES
10,301,VOTES
10,306,VOTES
10,310,VOTES
10,319,VOTES
10,405,VOTES
10,406,VOTES
10,407,VOTES
10,432,VOTES
10,549,VOTES
10,587,VOTES
10,600,VOTES
10,609,VOTES
10,617,VOTES
10,619,VOTES
10,622,VOTES
10,627,VOTES
10,628,VOTES
10,631,VOTES
10,636,VOTES
10,656,VOTES
10,657,VOTES
10,658,VOTES
10,659,VOTES
10,664,VOTES
10,665,VOTES
10,667,VOTES
10,668,VOTES
10,673,VOTES
10,675,VOTES
10,681,VOTES
10,700,VOTES
10,706,VOTES
10,715,VOTES
10,719,VOTES
10,725,VOTES
10,739,VOTES
10,741,VOTES
10,743,VOTES
10,746,VOTES
10,748,VOTES
10,750,VOTES
10,756,VOTES
10,760,VOTES
10,761,VOTES
10,765,VOTES
10,778,VOTES
10,779,VOTES
11,6,VOTES
11,8,VOTES
11,10,VOTES
11,15,VOTES
11,19,VOTES
11,23,VOTES
11,28,VOTES
11,29,VOTES
11,30,VOTES
11,33,VOTES
11,34,VOTES
11,35,VOTES
11,36,VOTES
11,38,VOTES
11,49,VOTES
11,50,VOTES
11,54,VOTES
11,55,VOTES
11,56,VOTES
11,61,VOTES
11,72,VOTES
11,75,VOTES
11,86,VOTES
11,89,VOTES
11,93,VOTES
11,95,VOTES
11,105,VOTES
11,127,VOTES
11,130,VOTES
11,132,VOTES
11,147,VOTES
11,151,VOTES
11,153,VOTES
11,154,VOTES
11,163,VOTES
11,168,VOTES
11,171,VOTES
11,178,VOTES
11,183,VOTES
11,192,VOTES
11,204,VOTES
11,214,VOTES
11,216,VOTES
11,219,VOTES
11,224,VOTES
11,227,VOTES
11,228,VOTES
11,230,VOTES
11,246,VOTES
11,250,VOTES
11,252,VOTES
11,255,VOTES
11,257,VOTES
11,259,VOTES
11,261,VOTES
11,271,VOTES
11,274,VOTES
11,282,VOTES
11,285,VOTES
11,286,VOTES
11,298,VOTES
11,299,VOTES
11,306,VOTES
11,308,VOTES
11,310,VOTES
11,313,VOTES
11,317,VOTES
11,319,VOTES
11,322,VOTES
11,325,VOTES
11,332,VOTES
11,334,VOTES
11,338,VOTES
11,350,VOTES
11,372,VOTES
11,406,VOTES
11,407,VOTES
11,415,VOTES
11,429,VOTES
11,431,VOTES
11,432,VOTES
11,439,VOTES
11,440,VOTES
11,465,VOTES
11,488,VOTES
11,506,VOTES
11,514,VOTES
11,545,VOTES
11,549,VOTES
11,559,VOTES
11,560,VOTES
11,575,VOTES
11,579,VOTES
11,587,VOTES
11,600,VOTES
11,607,VOTES
11,608,VOTES
11,609,VOTES
11,611,VOTES
11,613,VOTES
11,617,VOTES
11,622,VOTES
11,624,VOTES
11,627,VOTES
11,628,VOTES
11,631,VOTES
11,636,VOTES
11,637,VOTES
11,643,VOTES
11,644,VOTES
11,647,VOTES
11,658,VOTES
11,659,VOTES
11,664,VOTES
11,667,VOTES
11,668,VOTES
11,673,VOTES
11,674,VOTES
11,675,VOTES
11,677,VOTES
11,681,VOTES
11,684,VOTES
11,687,VOTES
11,694,VOTES
11,700,VOTES
11,705,VOTES
11,706,VOTES
11,707,VOTES
11,710,VOTES
11,715,VOTES
11,717,VOTES
11,719,VOTES
11,722,VOTES
11,723,VOTES
11,725,VOTES
11,730,VOTES
11,733,VOTES
11,739,VOTES
11,741,VOTES
11,743,VOTES
11,744,VOTES
11,746,VOTES
11,748,VOTES
11,749,VOTES
11,750,VOTES
11,756,VOTES
11,760,VOTES
11,761,VOTES
11,762,VOTES
11,763,VOTES
11,764,VOTES
11,765,VOTES
11,771,VOTES
11,779,VOTES
11,791,VOTES
11,793,VOTES
11,798,VOTES
11,802,VOTES
11,803,VOTES
11,805,VOTES
11,806,VOTES
11,810,VOTES
11,817,VOTES
11,822,VOTES
11,825,VOTES
11,826,VOTES
11,829,VOTES
11,836,VOTES
11,837,VOTES
11,838,VOTES
11,839,VOTES
11,844,VOTES
11,849,VOTES
11,853,VOTES
11,857,VOTES
11,859,VOTES
11,863,VOTES
11,864,VOTES
11,866,VOTES
11,868,VOTES
11,871,VOTES
11,873,VOTES
11,878,VOTES
11,881,VOTES
11,882,VOTES
11,885,VOTES
11,887,VOTES
11,893,VOTES
11,895,VOTES
11,904,VOTES
11,907,VOTES
11,908,VOTES
11,913,VOTES
11,918,VOTES
11,922,VOTES
11,929,VOTES
11,932,VOTES
11,934,VOTES
11,935,VOTES
11,936,VOTES
11,937,VOTES
11,941,VOTES
11,942,VOTES
11,943,VOTES
11,945,VOTES
11,946,VOTES
11,947,VOTES
11,955,VOTES
11,956,VOTES
11,958,VOTES
11,959,VOTES
11,960,VOTES
11,963,VOTES
11,968,VOTES
11,971,VOTES
11,975,VOTES
11,978,VOTES
11,982,VOTES
11,985,VOTES
11,989,VOTES
11,993,VOTES
11,994,VOTES
11,999,VOTES
11,1000,VOTES
11,1006,VOTES
11,1012,VOTES
11,1018,VOTES
11,1022,VOTES
11,1031,VOTES
11,1032,VOTES
11,1034,VOTES
11,1035,VOTES
11,1049,VOTES
11,1055,VOTES
11,1061,VOTES
11,1062,VOTES
11,1075,VOTES
11,1080,VOTES
11,1092,VOTES
11,1097,VOTES
11,1103,VOTES
11,1111,VOTES
11,1124,VOTES
11,1127,VOTES
11,1128,VOTES
11,1137,VOTES
11,1144,VOTES
11,1151,VOTES
11,1154,VOTES
11,1156,VOTES
11,1160,VOTES
11,1164,VOTES
11,1165,VOTES
11,1167,VOTES
11,1168,VOTES
11,1185,VOTES
11,1186,VOTES
11,1190,VOTES
11,1191,VOTES
11,1193,VOTES
11,1196,VOTES
11,1199,VOTES
11,1200,VOTES
11,1201,VOTES
11,1203,VOTES
11,1211,VOTES
11,1218,VOTES
11,1220,VOTES
11,1221,VOTES
11,1222,VOTES
11,1230,VOTES
11,1239,VOTES
11,1241,VOTES
11,1243,VOTES
11,1248,VOTES
11,1250,VOTES
11,1253,VOTES
11,1259,VOTES
11,1260,VOTES
11,1261,VOTES
11,1279,VOTES
11,1282,VOTES
11,1284,VOTES
11,1285,VOTES
11,1286,VOTES
11,1296,VOTES
11,1297,VOTES
11,1305,VOTES
11,1307,VOTES
11,1310,VOTES
11,1319,VOTES
11,1321,VOTES
11,1322,VOTES
11,1326,VOTES
11,1330,VOTES
11,1353,VOTES
11,1360,VOTES
11,1372,VOTES
11,1374,VOTES
11,1375,VOTES
11,1377,VOTES
11,1378,VOTES
11,1382,VOTES
11,1384,VOTES
11,1385,VOTES
11,1389,VOTES
11,1390,VOTES
11,1394,VOTES
11,1396,VOTES
11,1402,VOTES
11,1407,VOTES
11,1411,VOTES
11,1412,VOTES
11,1413,VOTES
11,1418,VOTES
11,1420,VOTES
11,1425,VOTES
11,1428,VOTES
11,1435,VOTES
11,1437,VOTES
11,1439,VOTES
11,1441,VOTES
11,1442,VOTES
11,1444,VOTES
11,1446,VOTES
11,1453,VOTES
11,1464,VOTES
11,1465,VOTES
11,1468,VOTES
11,1471,VOTES
11,1476,VOTES
11,1482,VOTES
11,1484,VOTES
11,1485,VOTES
11,1486,VOTES
11,1487,VOTES
11,1489,VOTES
11,1490,VOTES
11,1492,VOTES
11,1496,VOTES
11,1497,VOTES
11,1501,VOTES
11,1506,VOTES
11,1507,VOTES
11,1513,VOTES
11,1514,VOTES
11,1518,VOTES
11,1520,VOTES
11,1521,VOTES
11,1524,VOTES
11,1525,VOTES
11,1531,VOTES
11,1532,VOTES
11,1533,VOTES
11,1534,VOTES
11,1538,VOTES
11,1542,VOTES
11,1547,VOTES
11,1549,VOTES
11,1550,VOTES
11,1555,VOTES
11,1556,VOTES
11,1557,VOTES
11,1565,VOTES
11,1566,VOTES
11,1583,VOTES
11,1585,VOTES
11,1592,VOTES
11,1608,VOTES
11,1610,VOTES
11,1613,VOTES
11,1619,VOTES
11,1621,VOTES
11,1622,VOTES
11,1628,VOTES
11,1629,VOTES
11,1633,VOTES
11,1637,VOTES
11,1638,VOTES
11,1641,VOTES
11,1646,VOTES
11,1648,VOTES
11,1649,VOTES
11,1652,VOTES
11,1653,VOTES
11,1654,VOTES
11,1657,VOTES
11,1658,VOTES
11,1661,VOTES
11,1662,VOTES
11,1669,VOTES
11,1672,VOTES
11,1679,VOTES
11,1680,VOTES
11,1687,VOTES
11,1688,VOTES
11,1689,VOTES
11,1692,VOTES
11,1697,VOTES
11,1700,VOTES
11,1701,VOTES
11,1706,VOTES
11,1707,VOTES
11,1714,VOTES
11,1716,VOTES
11,1717,VOTES
11,1718,VOTES
11,1726,VOTES
11,1729,VOTES
11,1730,VOTES
11,1732,VOTES
11,1746,VOTES
11,1747,VOTES
11,1749,VOTES
11,1752,VOTES
11,1757,VOTES
11,1758,VOTES
11,1768,VOTES
11,1769,VOTES
11,1771,VOTES
11,1772,VOTES
11,1774,VOTES
11,1780,VOTES
11,1783,VOTES
11,1787,VOTES
11,1788,VOTES
11,1791,VOTES
11,1798,VOTES
11,1802,VOTES
11,1805,VOTES
11,1811,VOTES
11,1816,VOTES
11,1835,VOTES
11,1836,VOTES
11,1842,VOTES
11,1847,VOTES
11,1848,VOTES
11,1849,VOTES
11,1855,VOTES
11,1857,VOTES
11,1858,VOTES
11,1859,VOTES
11,1861,VOTES
11,1864,VOTES
11,1880,VOTES
11,1884,VOTES
11,1888,VOTES
11,1893,VOTES
11,1901,VOTES
11,1903,VOTES
11,1908,VOTES
11,1919,VOTES
11,1920,VOTES
11,1927,VOTES
11,1953,VOTES
11,1956,VOTES
11,1963,VOTES
11,1964,VOTES
11,1965,VOTES
11,1966,VOTES
11,1969,VOTES
11,1973,VOTES
11,1977,VOTES
11,1979,VOTES
11,1983,VOTES
11,1985,VOTES
11,1987,VOTES
11,1990,VOTES
11,1991,VOTES
11,1992,VOTES
11,1997,VOTES
11,2004,VOTES
11,2007,VOTES
11,2014,VOTES
11,2055,VOTES
11,2060,VOTES
11,2062,VOTES
11,2066,VOTES
11,2071,VOTES
11,2073,VOTES
11,2076,VOTES
11,2079,VOTES
11,2085,VOTES
11,2091,VOTES
11,2095,VOTES
11,2097,VOTES
11,2101,VOTES
11,2109,VOTES
11,2114,VOTES
11,2117,VOTES
11,2119,VOTES
11,2128,VOTES
11,2134,VOTES
11,2137,VOTES
11,2144,VOTES
11,2145,VOTES
11,2151,VOTES
11,2157,VOTES
11,2168,VOTES
11,2178,VOTES
11,2181,VOTES
11,2182,VOTES
11,2193,VOTES
11,2202,VOTES
11,2205,VOTES
11,2206,VOTES
11,2210,VOTES
11,2237,VOTES
11,2240,VOTES
11,2241,VOTES
11,2246,VOTES
11,2252,VOTES
11,2253,VOTES
11,2257,VOTES
11,2273,VOTES
11,2289,VOTES
11,2294,VOTES
11,2328,VOTES
11,2329,VOTES
11,2332,VOTES
11,2333,VOTES
11,2339,VOTES
11,2341,VOTES
11,2345,VOTES
11,2350,VOTES
11,2362,VOTES
11,2364,VOTES
11,2381,VOTES
11,2384,VOTES
11,2385,VOTES
11,2397,VOTES
11,2400,VOTES
11,2409,VOTES
11,2410,VOTES
11,2411,VOTES
11,2426,VOTES
11,2435,VOTES
11,2456,VOTES
11,2470,VOTES
11,2475,VOTES
11,2479,VOTES
11,2484,VOTES
11,2485,VOTES
11,2490,VOTES
11,2499,VOTES
11,2504,VOTES
11,2506,VOTES
11,2508,VOTES
11,2517,VOTES
11,2535,VOTES
11,2544,VOTES
11,2565,VOTES
11,2570,VOTES
11,2575,VOTES
11,2579,VOTES
11,2580,VOTES
11,2585,VOTES
11,2587,VOTES
11,2593,VOTES
11,2595,VOTES
11,2604,VOTES
11,2612,VOTES
11,2619,VOTES
11,2625,VOTES
11,2643,VOTES
11,2646,VOTES
11,2653,VOTES
11,2655,VOTES
11,2657,VOTES
11,2665,VOTES
11,2669,VOTES
11,2685,VOTES
11,2686,VOTES
11,2696,VOTES
11,2720,VOTES
11,2727,VOTES
11,2746,VOTES
11,2754,VOTES
11,2760,VOTES
11,2763,VOTES
11,2775,VOTES
11,2777,VOTES
11,2787,VOTES
11,2794,VOTES
11,2811,VOTES
11,2843,VOTES
11,2859,VOTES
11,2871,VOTES
11,2900,VOTES
11,2923,VOTES
11,2932,VOTES
11,2958,VOTES
11,2981,VOTES
11,3002,VOTES
11,3005,VOTES
11,3007,VOTES
11,3010,VOTES
11,3014,VOTES
11,3024,VOTES
11,3026,VOTES
11,3028,VOTES
11,3034,VOTES
11,3059,VOTES
11,3073,VOTES
11,3084,VOTES
11,3092,VOTES
11,3114,VOTES
11,3117,VOTES
11,3125,VOTES
11,3136,VOTES
11,3140,VOTES
11,3144,VOTES
11,3180,VOTES
11,3192,VOTES
11,3258,VOTES
11,3260,VOTES
11,3284,VOTES
11,3291,VOTES
11,3309,VOTES
11,3321,VOTES
11,3334,VOTES
11,3352,VOTES
11,3394,VOTES
11,3404,VOTES
11,3433,VOTES
11,3439,VOTES
11,3443,VOTES
11,3447,VOTES
11,3452,VOTES
11,3453,VOTES
11,3454,VOTES
11,3458,VOTES
11,3463,VOTES
11,3464,VOTES
11,3480,VOTES
11,3529,VOTES
11,3537,VOTES
11,3557,VOTES
11,3562,VOTES
11,3568,VOTES
11,3607,VOTES
11,3615,VOTES
11,3631,VOTES
11,3635,VOTES
11,3645,VOTES
11,3650,VOTES
11,3660,VOTES
11,3661,VOTES
11,3680,VOTES
11,3748,VOTES
11,3755,VOTES
11,3787,VOTES
11,3800,VOTES
11,3806,VOTES
11,3807,VOTES
11,3812,VOTES
11,3830,VOTES
11,3843,VOTES
11,3847,VOTES
11,3871,VOTES
11,3892,VOTES
11,3903,VOTES
11,3926,VOTES
11,3937,VOTES
11,3956,VOTES
11,3958,VOTES
11,3967,VOTES
11,3970,VOTES
11,4011,VOTES
11,4013,VOTES
11,4021,VOTES
11,4024,VOTES
11,4040,VOTES
11,4043,VOTES
11,4044,VOTES
11,4055,VOTES
11,4058,VOTES
11,4065,VOTES
11,4072,VOTES
11,4088,VOTES
11,4103,VOTES
11,4124,VOTES
11,4162,VOTES
11,4179,VOTES
11,4201,VOTES
11,4212,VOTES
11,4231,VOTES
11,4247,VOTES
11,4256,VOTES
11,4261,VOTES
11,4263,VOTES
11,4266,VOTES
11,4269,VOTES
11,4289,VOTES
11,4290,VOTES
11,4297,VOTES
11,4299,VOTES
11,4335,VOTES
11,4384,VOTES
11,4417,VOTES
11,4422,VOTES
11,4424,VOTES
11,4463,VOTES
11,4485,VOTES
11,4510,VOTES
11,4528,VOTES
11,4531,VOTES
11,4547,VOTES
11,4578,VOTES
11,4613,VOTES
11,4661,VOTES
11,4662,VOTES
11,4706,VOTES
11,4709,VOTES
11,4719,VOTES
11,4796,VOTES
11,4808,VOTES
11,4811,VOTES
11,4814,VOTES
11,4820,VOTES
11,4827,VOTES
11,4938,VOTES
11,4962,VOTES
11,5026,VOTES
11,5037,VOTES
11,5055,VOTES
11,5073,VOTES
11,5092,VOTES
11,5100,VOTES
11,5106,VOTES
11,5130,VOTES
